AIRLINE,MONTH,rank,DELAY_TYPE,DELAY
US,Mar,7,ARRIVAL_DELAY,6.448503334597283
US,Apr,6,ARRIVAL_DELAY,4.517441860465116
US,May,7,ARRIVAL_DELAY,5.359255380174421
US,Jun,6,ARRIVAL_DELAY,9.990930107516954
WN,Jan,10,ARRIVAL_DELAY,2.1579988390060048
WN,Feb,10,ARRIVAL_DELAY,-0.06571683047185624
WN,Mar,9,ARRIVAL_DELAY,3.5583539362336762
WN,Apr,9,ARRIVAL_DELAY,2.339773818830508
WN,May,8,ARRIVAL_DELAY,3.230923556908554
WN,Jun,7,ARRIVAL_DELAY,9.778731531132822
WN,Jul,5,ARRIVAL_DELAY,9.214119343940279
WN,Aug,6,ARRIVAL_DELAY,4.5616473436506055
WN,Sep,8,ARRIVAL_DELAY,-3.384100955899405
WN,Nov,8,ARRIVAL_DELAY,0.5528079162633885
WN,Dec,6,ARRIVAL_DELAY,6.993624998508346
